ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13708734,JJ100974,01/01/2025 01:30:00 AM,046XX N LINCOLN AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,1911,019,47,4,05,1160199,1930607,2025,01/09/2025 03:41:07 PM,41.965293223,-87.686369292,"(41.965293223, -87.686369292)"
13708561,JJ100816,01/01/2025 01:30:00 AM,014XX E 53RD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0234,002,4,41,07,1186536,1870407,2025,01/09/2025 03:41:07 PM,41.799515859,-87.591448973,"(41.799515859, -87.591448973)"
13709141,JJ100482,01/01/2025 01:30:00 AM,092XX S WENTWORTH AVE,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,false,false,0634,006,9,49,08B,1176574,1843629,2025,01/09/2025 03:41:07 PM,41.726264108,-87.628786224,"(41.726264108, -87.628786224)"
13708789,JJ100091,01/01/2025 01:34:00 AM,066XX S ALBANY AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0831,008,15,66,06,1156860,1860502,2025,01/09/2025 03:41:07 PM,41.772986419,-87.700546154,"(41.772986419, -87.700546154)"
13707898,JJ100083,01/01/2025 01:39:00 AM,030XX W FOSTER AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,1712,017,39,13,08B,1155076,1934388,2025,01/09/2025 03:41:07 PM,41.975773105,-87.705103499,"(41.975773105, -87.705103499)"
13710378,JJ102842,01/01/2025 01:40:00 AM,057XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,0814,008,23,56,06,1141790,1869061,2025,01/09/2025 03:41:07 PM,41.796764778,-87.755579018,"(41.796764778, -87.755579018)"
13708329,JJ100076,01/01/2025 01:40:00 AM,101XX S ELIZABETH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2232,022,21,73,08B,1169797,1837632,2025,01/09/2025 03:41:07 PM,41.709956971,-87.653784319,"(41.709956971, -87.653784319)"
13707933,JJ100108,01/01/2025 01:40:00 AM,0000X W 37TH ST,0320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,false,true,0213,002,3,35,03,1176453,1880461,2025,01/17/2025 03:40:47 PM,41.827337788,-87.628123054,"(41.827337788, -87.628123054)"
13708198,JJ100098,01/01/2025 01:42:00 AM,079XX S ST LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0624,006,6,44,08B,1181611,1852503,2025,01/09/2025 03:41:07 PM,41.75050077,-87.610062219,"(41.75050077, -87.610062219)"
13707979,JJ100218,01/01/2025 01:44:00 AM,035XX S PULASKI RD,0460,BATTERY,SIMPLE,STREET,false,false,1031,010,22,30,08B,1150261,1881205,2025,01/09/2025 03:41:07 PM,41.829929212,-87.724198877,"(41.829929212, -87.724198877)"
13707889,JJ100127,01/01/2025 01:55:00 AM,024XX W 70TH ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0832,008,16,66,08A,1161405,1858174,2025,01/09/2025 03:41:07 PM,41.766505081,-87.683949664,"(41.766505081, -87.683949664)"
13707876,JJ100120,01/01/2025 01:56:00 AM,011XX W BELMONT AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,true,false,1933,019,44,6,08B,1167919,1921394,2025,01/09/2025 03:41:07 PM,41.939848915,-87.658251563,"(41.939848915, -87.658251563)"
13707888,JJ100129,01/01/2025 01:58:00 AM,063XX S CALIFORNIA AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,false,false,0825,008,16,66,04A,1158804,1862435,2025,01/09/2025 03:41:07 PM,41.778251378,-87.693367158,"(41.778251378, -87.693367158)"
13707951,JJ100119,01/01/2025 01:58:00 AM,084XX W CATALPA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1614,016,41,76,08B,1119038,1935436,2025,01/09/2025 03:41:07 PM,41.979297678,-87.83760914,"(41.979297678, -87.83760914)"
